Id,SysDate,SysTime,SessionId,CompId,FinYearId,CustomerId,QuotationNo,PaymentTerms,PFType,PF,VATCST,Excise,OctroiType,Octroi,Warrenty,Insurance,Validity,OtherChargesType,otherCharges,Transport,NoteNo,RegistrationNo,FreightType,Freight,Remarks,DeliveryTerms,DueDate,Checked,CheckedBy,CheckedDate,CheckedTime,Approve,ApprovedBy,ApproveDate,ApproveTime,Authorize,AuthorizedBy,AuthorizeDate,AuthorizeTime,EnqId
8,2013-04-02,5:28:24 PM,Sapl0005,1,1,T002,0001,90% against material receipt & acceptance & balance10%       within 60 days after commissioning .,0,0.0,56,6,1,0.0,12 months from the date of commisioning or 18 months from the date of despatch,0.0,30 DAYS,0,0.0,ROAD,-,-,0,0.0,-,-,2013-05-30,1,Sapl0005,2013-04-02,5:29:46 PM,1,Sapl0005,2013-04-02,5:30:03 PM,1,Sapl0005,2013-04-02,5:30:20 PM,6
9,2013-04-03,11:20:05 AM,Sapl0005,1,1,C002,0002,90 DAYS,0,0.0,56,6,0,0.0,12 MONTHS,0.0,30 DAYS,0,0.0,ROAD,-,-,0,0.0,-,2 WEEKS,2013-04-03,1,Sapl0005,2013-04-03,11:20:34 AM,1,Sapl0005,2013-04-03,11:20:48 AM,1,Sapl0005,2013-04-03,11:20:58 AM,7
10,2013-04-03,2:15:34 PM,Sapl0005,1,1,C002,0003,90 days,0,0.0,56,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,-,within a week,2013-04-18,1,Sapl0005,2013-04-03,2:16:03 PM,1,Sapl0005,2013-04-03,2:16:20 PM,1,Sapl0005,2013-04-03,2:16:38 PM,8
11,2013-04-04,9:30:14 AM,Sapl0005,1,1,A015,0004,100% + 100% taxes against delivery,0,0.0,56,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,-,immediate,2013-04-09,1,Sapl0005,2013-04-04,9:30:54 AM,1,Sapl0005,2013-04-04,9:31:10 AM,1,Sapl0005,2013-04-04,9:31:22 AM,9
12,2013-04-08,11:20:34 AM,Sapl0005,1,1,P003,0005,100% AGAINST DELIVERY,1,3.0,56,6,0,0.0,12 MONTHS FROM DATE OF DISPATCH,0.0,30 DAYS,0,0.0,ROAD,-,-,0,0.0,-,IMMEDIATE,2013-04-10,1,Sapl0005,2013-04-08,11:20:58 AM,1,Sapl0005,2013-04-08,11:21:12 AM,1,Sapl0005,2013-04-08,11:21:26 AM,10
13,2013-04-08,12:09:26 PM,Sapl0005,1,1,C002,0006,90 days,0,0.0,56,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,-,2 weeks,2013-04-18,1,Sapl0005,2013-04-08,12:09:46 PM,1,Sapl0005,2013-04-08,12:09:57 PM,1,Sapl0005,2013-04-08,12:10:09 PM,11
14,2013-04-08,12:34:23 PM,Sapl0005,1,1,C002,0007,90 DAYS,0,0.0,56,6,0,0.0,12 MONTHS FROM DATE OF DISPATCH,0.0,30 DAYS,0,0.0,ROAD,-,-,0,0.0,-,1WEEK,2013-04-18,1,Sapl0005,2013-04-08,12:34:37 PM,1,Sapl0005,2013-04-08,12:34:47 PM,1,Sapl0005,2013-04-08,12:34:56 PM,12
15,2013-04-08,2:28:35 PM,Sapl0005,1,1,C011,0008,as per po,0,0.0,56,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,,immediate,2013-03-08,1,Sapl0005,2013-04-08,2:28:51 PM,1,Sapl0005,2013-04-08,2:29:00 PM,1,Sapl0005,2013-04-08,2:29:13 PM,13
16,2013-04-09,10:02:06 AM,Sapl0005,1,1,C002,0009,90 days,0,0.0,1,6,0,0.0,12 months from date of dispatch,0.0,30 days,0,0.0,road,-,-,0,0.0,-,immediate,2013-04-11,1,Sapl0005,2013-04-09,10:02:26 AM,1,Sapl0005,2013-04-09,10:02:37 AM,1,Sapl0005,2013-04-09,10:02:49 AM,14
18,2017-03-31,2:31:43 PM,Sapl0005,1,4,M020,0001,Immediate On Receipt Of Matl,0,0.0,2,29,0,0.0,12 MONTHS FROM DATE OF DISPATCH.,0.0,30days,0,0.0,-,0,-,0,0.0,,within 1week,2017-04-30,1,Sapl0005,2017-03-31,4:13:17 PM,1,Sapl0005,2017-03-31,4:13:37 PM,1,Sapl0005,2017-03-31,4:13:47 PM,534
19,2018-06-15,9:49:57 AM,Sapl0005,1,6,C015,0001,"20% advance with PO, 70% +100% against dispatch & 10% against installation",0,0.0,1,33,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,30 days from the date of offer,0,0.0,by road,-,-,0,0.0,,Ex-works within 3-4 weeks from the date of receipt of your techno-commercial clear purchase order & advance payment.,2018-07-14,0,,,,0,,,,0,,,,598
20,2018-06-15,9:53:30 AM,Sapl0005,1,6,A002,0002,"40% Advance along with purchase order, 50% amount of order value + 100% taxes against delivery & balance 10% amount of order value after installation at your site.",1,3.0,95,32,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty,0.0,30 days from the date of offer,0,0.0,road,-,-,0,0.0,,"Ex-works within 6 to 8 weeks after Techno-commercial clear purchase order , Advance Payment.",2018-06-30,0,,,,0,,,,0,,,,599
21,2018-06-15,1:28:39 PM,Sapl0005,1,6,S032,0003,"50% advance with PO, 40% + 100% Taxes against PI before delivery of material at your site & balance 10% after delivery",1,3.0,95,32,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 8-10 weeks from the date of receipt of your techno-commercial clear Purchase Order & advance payment,2018-05-15,0,,,,0,,,,0,,,,600
22,2018-06-15,1:32:23 PM,Sapl0005,1,6,T002,0004,"50% advance with PO, 40% + 100% taxes against delivery & balance  10% after installation.",1,3.0,95,32,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 6 to 8 weeks from the date of receipt of your technocommercial clear purchase order & advance payment,2018-04-16,0,,,,0,,,,0,,,,601
23,2018-06-15,1:36:17 PM,Sapl0005,1,6,O003,0005,"30% advance with PO, 30% against DAP & 30% + 100% taxes against delivery & balance 10% after installation",1,3.0,95,33,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,3% of the order value,2018-05-15,0,,,,0,,,,0,,,,602
24,2018-06-15,1:41:09 PM,Sapl0005,1,6,M030,0006,"30% advance with PO, 30% against DAP & 30% + 100% taxes against delivery & balance 10% after installation",1,3.0,1,33,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 4 weeks from the date of receipt of your technocommercial clear purchase order & advance payment,2018-05-18,0,,,,0,,,,0,,,,603
25,2018-06-15,1:44:54 PM,Sapl0005,1,6,P012,0007,100% + 100% taxes against delivery,1,3.0,95,32,0,0.0,12 months from the date of dispatch. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,7days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Immediate from the date of receipt of your techno-commercial clear purchase order,2018-05-28,0,,,,0,,,,0,,,,588
26,2018-06-15,1:47:19 PM,Sapl0005,1,6,T016,0008,100% + 100% Taxes against PI as advance before delivery of material at your site,0,0.0,94,31,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,7 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 2-3 days after receipt of your techno-commercial clear Purchase Order,2018-05-29,0,,,,0,,,,0,,,,587
27,2018-06-15,2:02:33 PM,Sapl0005,1,6,P012,0009,100% + 100% Taxes against PI as advance before delivery of material at your site.,0,0.0,94,31,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,7 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 1week after receipt of your techno-commercial clear Purchase Order.,2018-05-30,0,,,,0,,,,0,,,,590
28,2018-06-15,2:07:02 PM,Sapl0005,1,6,C004,0010,"20% advance with PO , 70% + 100% taxes after delivery & balance 10% against completion of installation.",0,0.0,95,37,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 4- 6weeks from the date of receipt of your techno-commercial clear purchase order.,2018-05-22,0,,,,0,,,,0,,,,604
29,2018-06-15,2:09:46 PM,Sapl0005,1,6,C004,0011,"20% advance with PO , 70% + 100% taxes after delivery & balance 10% against completion of installation.",0,0.0,95,32,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 4- 6weeks from the date of receipt of your techno-commercial clear purchase order,2018-05-15,0,,,,0,,,,0,,,,605
30,2018-06-15,2:14:05 PM,Sapl0005,1,6,C015,0012,"20% advance with PO , 70% + 100% taxes after delivery & balance 10% against completion of installation",0,0.0,1,33,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 4- 6weeks from the date of receipt of your techno-commercial clear purchase order,2018-05-15,0,,,,0,,,,0,,,,606
31,2018-06-15,2:19:11 PM,Sapl0005,1,6,M030,0013,60days,0,0.0,1,33,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty.,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 4 weeks from the date of receipt of your technocommercial clear purchase order & advance payment,2018-05-15,0,,,,0,,,,0,,,,607
32,2018-06-15,2:22:19 PM,Sapl0005,1,6,C005,0014,50% Advance along with PO & balance after installation,0,0.0,95,32,0,0.0,-,0.0,30 days from the date of offer,0,0.0,-,-,-,0,0.0,,"Ex-works within 3 Months (Working Days Only) from the date of receipt of your techno-commercial clear purchase order, Finalization of scope & advance payment.",2018-05-21,0,,,,0,,,,0,,,,608
33,2018-06-15,2:23:58 PM,Sapl0005,1,6,S011,0015,100% + 100% Taxes against PI.,1,3.0,94,31,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Immediately after receipt of your techno-commercial clear Purchase Order.,2018-05-26,0,,,,0,,,,0,,,,609
34,2018-06-15,2:29:53 PM,Sapl0005,1,6,N003,0016,100% + 100% Taxes against PI as advance before delivery of material at your site.,0,0.0,94,31,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,7 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 2-3 days after receipt of your techno-commercial clear Purchase Order.,2018-05-31,0,,,,0,,,,0,,,,610
35,2018-06-15,2:31:53 PM,Sapl0005,1,6,T002,0017,"50% advance with PO, 40% + 100% taxes against delivery & balance 10% after installation.",1,3.0,95,32,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 6 to 8 weeks from the date of receipt of your technocommercial clear purchase order & advance payment,2018-06-01,0,,,,0,,,,0,,,,611
36,2018-06-15,2:33:43 PM,Sapl0005,1,6,P012,0018,"50% advance with PO, 20% against DAP , 20% + 100% taxes against delivery & balance 10% after installation",1,3.0,95,32,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 6 to 8 weeks from the date of receipt of your technocommercial clear purchase order & advance payment.,2018-06-02,0,,,,0,,,,0,,,,612
37,2018-06-15,2:35:13 PM,Sapl0005,1,6,C004,0019,"20% advance with PO , 70% + 100% taxes after delivery & balance 10% against completion of installation.",0,0.0,95,32,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 4- 6weeks from the date of receipt of your techno-commercial clear purchase order.,2018-06-07,0,,,,0,,,,0,,,,613
38,2018-06-15,2:37:53 PM,Sapl0005,1,6,M031,0020,"50% advance with PO, 20% against DAP , 20% + 100% taxes against  delivery & balance 10% after installation.",1,3.0,95,32,0,0.0,12 months from the date of commissioning. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty,0.0,30 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 6 to 8 weeks from the date of receipt of your technocommercial clear purchase order & advance payment,2018-06-11,0,,,,0,,,,0,,,,614
39,2018-06-15,2:40:21 PM,Sapl0005,1,6,A002,0021,100% + 100% Taxes against PI as advance before delivery of material at your site.,0,0.0,94,31,0,0.0,12 months from the date of dispatch of material for any manufacturing defects. Warranty will not be considered in case of mishandling of equipment. On bought items it will be as per the suppliers terms of warranty,0.0,7 days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Ex-works within 3-4 weeks after receipt of your techno-commercial clear Purchase Order,2018-06-13,1,admin,26-10-2025,19:19:08,1,admin,03-11-2025,22:57:31,1,admin,03-11-2025,22:57:50,615
40,2018-06-15,2:41:43 PM,Sapl0005,1,6,P012,0022,100% + 100% taxes against delivery.,0,0.0,94,31,0,0.0,12 months from the date of dispatch. Electrical and Standard Mechanical bought out components failure and its replacement will be dependent on its manufacturer’s warranty,0.0,7days from the date of offer,0,0.0,ROAD,-,-,0,0.0,,Immediate from the date of receipt of your techno-commercial clear purchase order.,2018-06-16,1,admin,26-10-2025,01:10:12,1,admin,26-10-2025,19:19:20,1,admin,26-10-2025,19:19:28,616
41,2019-06-17,4:25:25 PM,sapl0313,1,7,O002,0001,"30?% ?ADV WITH PO?, ?60?% ?after manufacturing and before dispatch, 10?% ?AFTER INSTALLATION ?& ?COMM",0,4500.0,2,31,0,0.0,12 Months from Delivery,0.0,30.06.2019,0,0.0,By Road,-,-,0,12000.0,,To deliver to OLCI Chakan by 20.07.19,2019-06-30,1,sapl0313,2019-06-17,4:26:35 PM,1,sapl0313,2019-06-17,4:26:59 PM,1,sapl0313,2019-06-17,4:27:11 PM,666
42,2019-06-20,4:18:16 PM,sapl0313,1,7,C015,0002,"80% after delivery, Taxes immediate after delivery, 20t% after Installation commissioning",1,10000.0,2,31,0,0.0,12 Months from Delivery,0.0,30.06.2019,0,5000.0,By Road,-,-,0,0.0,Draw Bar design to be approved by Cummins team.,Door delivery till 20.07.2019,2019-07-19,1,sapl0313,2019-06-20,4:19:23 PM,1,sapl0313,2019-06-20,4:20:04 PM,1,sapl0313,2019-06-20,4:20:26 PM,667
43,2019-07-22,7:14:31 PM,sapl0313,1,7,O002,0003,90 Days against Invoice,0,0.0,1,3,0,0.0,12 Months from Delivery,0.0,30.07.2019,0,0.0,By Road,-,-,0,10000.0,"Scope of Manufacturing, Painting, Packing and Delivery to customer.",Door delivery till 06.08.2019,2019-08-06,1,sapl0313,2019-07-22,7:16:23 PM,1,sapl0313,2019-07-22,7:16:38 PM,1,sapl0313,2019-07-22,7:16:54 PM,674
44,2019-07-31,9:58:08 AM,sapl0313,1,7,O002,0004,90 Days against Invoice,0,0.0,2,3,0,0.0,12 Months from Delivery,0.0,30.08.19,0,0.0,By Road,-,-,0,0.0,Quotation submitted on 30.07.19,Free delivery within 10 days from Go-ahead.,2019-08-30,1,sapl0313,2019-07-31,9:58:42 AM,1,sapl0313,2019-07-31,9:58:58 AM,1,sapl0313,2019-07-31,9:59:09 AM,675
45,2019-08-16,10:30:47 AM,sapl0313,1,7,O002,0005,100% after 90 days from delivery date.,0,0.0,2,3,0,0.0,12 months from delivery.,0.0,30.08.2019,0,0.0,By Road,-,-,0,0.0,,Door delivery before 26.08.19,2019-08-30,1,sapl0313,2019-08-16,10:31:09 AM,1,sapl0313,2019-08-16,10:31:21 AM,1,sapl0313,2019-08-16,10:31:33 AM,677
46,2019-09-21,12:57:34 PM,sapl0313,1,7,T002,0006,"30% Advance, 60% + Taxes against Proforma invoice before dispatch & Balance 10% after installation commissioning.",0,0.0,2,3,0,0.0,12 months from delivery.,0.0,30.09.2019,0,0.0,By Road,-,-,0,0.0,"Complete scope of Design, manufacturing, assembly, proving and Installation commissioning at TML CVBU",Door delivery before 31.12.19,2019-09-28,1,sapl0313,2019-09-21,12:57:58 PM,1,sapl0313,2019-09-21,12:58:13 PM,1,sapl0313,2019-09-21,12:58:30 PM,678
47,17-10-2025,22:21:19,1,1,13,ENQ-CUST002,QUOT0007,sadfasdf,,,,,,,12,,40,,,,,,,,sdf,asdf,2025-11-18,1,admin,25-10-2025,19:07:33,1,admin,25-10-2025,19:07:52,1,admin,25-10-2025,19:08:05,864
48,17-10-2025,22:22:19,1,1,13,ENQ-CUST002,QUOT0008,sadfasdf,,,,,,,12,,40,,,,,,,,sdf,asdf,2025-11-18,1,,,,1,,,,1,,,,864
49,25-10-2025,19:18:56,1,1,13,ENQ-CUST002,QUOT0009,,,,,,,,13,,30 days,,,,,,,,for,,2025-10-26,1,admin,25-10-2025,19:07:25,1,admin,25-10-2025,19:07:47,1,admin,25-10-2025,19:08:02,864
50,03-11-2025,22:53:10,1,1,13,T024,0010,"50% Advance, 50% on delivery",,,,,,,12 months,,30 days,,,,,,,,All specifications as per drawings,"Ex-Works, 60 days from PO",2025-12-15,1,admin,03-11-2025,22:57:16,1,admin,03-11-2025,22:57:26,1,admin,03-11-2025,22:57:47,867
